,"(515, 377, 1)","(377, 515, 1)","(515, 377, 3)","(377, 515, 3)","(515, 377, 5)","(377, 515, 5)","(515, 377, 10)","(377, 515, 10)","(0, 0, 0)"
"{""377"": 26, ""515"": 21}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": 42, ""515"": 15}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": -17, ""515"": 50}",-17.103329594283178,-5.214941284932398,-10.721651937458446,-5.708163953362243,-19.661634499574454,-8.030898910368071,-13.082844286428362,-25.940009852789025,-2.0380395627903
"{""377"": -18, ""515"": 49}",-1.75559551797,-2.0380395627903,-0.89103,-23.991689194275303,-0.89103,-5.214941284932398,-8.25058992126439,-0.597,-12.911963925685214
"{""377"": 42, ""515"": 9}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": 92, ""515"": -45}",-9.423408396964389,-6.816907697032244,-4.0760791255806,-21.05384229789585,-6.279704744477014,-0.6,-1.194,-0.6,-5.188965150981547
"{""377"": 109, ""515"": -52}",-21.443303874916893,-7.875251233861302,-3.51119103594,-2.940597006,-4.0760791255806,-1.78206,0.0,-2.3642393999999998,-2.3642393999999998
"{""377"": 110, ""515"": -60}",-1.194,-0.6,-1.78206,-1.78206,-3.51119103594,0.0,-0.6,-2.3642393999999998,-2.940597006
"{""377"": 85, ""515"": -57}",-0.6,-1.78206,0.0,-12.859311551566861,-0.6,-1.78206,-4.0760791255806,-1.194,-2.940597006
"{""377"": 73, ""515"": -47}",-3.51119103594,-7.875251233861302,-6.279704744477014,-4.0760791255806,-3.51119103594,-0.6,-4.0760791255806,-7.348738620061922,-3.51119103594
"{""377"": 67, ""515"": -42}",-1.194,0.0,-0.6,-5.7370754994717315,0.0,-2.3642393999999998,0.0,-1.194,-0.6
"{""377"": 34, ""515"": 13}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": 28, ""515"": 23}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": 27, ""515"": 25}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": 26, ""515"": 40}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": 9, ""515"": 41}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"{""377"": -18, ""515"": 46}",-0.597,-2.5944825754907734,-1.1821196999999999,-1.470298503,-1.1821196999999999,-0.89103,-2.0380395627903,-1.470298503,-1.470298503
