,"(1, 515)","(3, 515)","(5, 515)","(10, 515)","(0, 0)"
"{""377"": 5, ""515"": 30}",-0.11882864282644813,-0.49654236214547937,-0.5748921354871118,-1.1108932030042664,0.0
"{""377"": -1, ""515"": 35}",0.0,-3.139852372238507,-0.3,-1.75559551797,-11.849817985873898
"{""377"": 7, ""515"": 27}",-0.0148505,-0.12972412877453865,-0.12252487525,-0.5233087287064178,0.0
"{""377"": 7, ""515"": 26}",-0.2784760091869136,-0.5360825968729224,-0.669241575864006,-1.4113473370086245,0.0
"{""377"": 8, ""515"": 22}",-0.11108932030042662,-0.4125294960632196,-0.776377285327305,-1.913549295288559,0.0
"{""377"": 20, ""515"": 6}",-0.3377772350682871,-0.7116052687116565,-1.3116498949857318,-2.47557055606465,0.0
"{""377"": 56, ""515"": -9}",-8.468084022051746,-9.107603458512788,-6.191571490690334,-8.25058992126439,-29.999993512708606
"{""377"": 50, ""515"": 1}",-0.02450497505,-0.0877797758985,-0.5358046479819527,-0.5680756414193536,0.0
"{""377"": 58, ""515"": -6}",-9.7281285281915,-12.211006607955007,-8.25058992126439,-11.666482814014039,-29.999999744967187
"{""377"": 65, ""515"": -16}",-29.999750834581754,-24.620529492158667,-25.46541195140557,-9.31652742392766,-5.214941284932398
"{""377"": 67, ""515"": -10}",-14.072833711346592,-14.853423336387896,-10.914435418083862,-28.69592680199337,-29.999999993557157
"{""377"": 71, ""515"": -5}",-24.34329464497867,-26.810154489443654,-29.73082946297861,-29.9090864665287,-26.40128615419565
"{""377"": 68, ""515"": -2}",-25.183554266673088,-29.997408880605388,-29.136335740831658,-29.677452248895616,-28.528773177861428
"{""377"": 56, ""515"": -6}",-20.363967763056234,-23.93099918613667,-25.373341446184646,-26.810154489443654,-28.011050318388435
"{""377"": 34, ""515"": -6}",-0.3858847699323295,-1.4178396089332368,-2.4866992419322043,-1.0716092959639054,0.0
"{""377"": 20, ""515"": 5}",-0.047808962495597754,-0.2607470642466199,-0.37135557226281096,-0.292599252995,0.0
"{""377"": 27, ""515"": 6}",-0.27623839311809456,-0.7350213806256517,-0.9567746476442796,-1.1497842709742236,0.0
"{""377"": 33, ""515"": -2}",-0.10319285817817224,-0.19688128084653256,-0.3926420165401828,-0.7852840330803657,0.0
"{""377"": 39, ""515"": -6}",-0.155275457065461,-0.3904494399175794,-1.0324080451562883,-0.9918470523047702,0.0
"{""377"": 37, ""515"": -3}",-0.00995,-0.015,0.0,0.0,0.0
"{""377"": 15, ""515"": 22}",-0.00995,0.0,0.0,0.0,0.0
"{""377"": 14, ""515"": 21}",-0.07427111445256218,-0.33326796090127986,-0.6132017819909182,-1.0319285817817225,0.0
"{""377"": 20, ""515"": 14}",-0.1819072569680644,-0.4234042011025874,-0.650749066529299,-1.8508818439838373,0.0
"{""377"": 22, ""515"": 11}",-0.1786941989576408,-0.6282503788228353,-0.7413807625010764,-2.094167929409451,0.0
"{""377"": 27, ""515"": -1}",-0.17544868581579878,-0.4864064264095751,-1.4466644446130792,-2.716951261280426,0.0
"{""377"": 63, ""515"": -16}",-1.75559551797,-1.75559551797,-1.1821196999999999,-2.0380395627903,-27.77854942291247
"{""377"": 58, ""515"": -7}",-3.937625616930651,-5.462791872083074,-7.129718569586887,-7.584837170052108,-13.252015843564077
"{""377"": 53, ""515"": -1}",-12.031319806015158,-4.198249360761345,-5.95108231382862,-8.68340318183123,-29.845131452970897
"{""377"": 58, ""515"": -9}",-26.138989767310328,-9.930847242909584,-19.661634499574454,-7.129718569586887,-12.388896541875457
"{""377"": 52, ""515"": 5}",-1.1821196999999999,-2.0380395627903,-2.0380395627903,-11.849817985873898,-16.30170756768255
"{""377"": 54, ""515"": 12}",-17.735394767323506,-12.211006607955007,-6.8987056258453405,-16.30170756768255,-21.01858826063004
"{""377"": 44, ""515"": 22}",-0.038627652786039954,-0.07351492515,-0.3281354680775543,-0.33967326046505,0.0
"{""377"": 29, ""515"": 21}",-0.02450497505,-0.5263460574473964,-0.04975,-0.2450497505,0.0
"{""377"": 2, ""515"": 26}",-0.033967326046505,-0.15699261861192534,-0.23904481247798876,-0.0995,0.0
"{""377"": -4, ""515"": 30}",-2.0380395627903,-1.1821196999999999,-2.0380395627903,-2.5944825754907734,-26.364935509288536
"{""377"": -6, ""515"": 31}",-4.456266867153731,-2.5944825754907734,-3.408453848516122,-4.456266867153731,-27.493808109803837
"{""377"": -1, ""515"": 34}",-21.79532546933349,-17.97946041145377,-24.28615620704916,-7.358421383891018,-19.345175558847792
"{""377"": 4, ""515"": 27}",-0.038627652786039954,-0.12972412877453865,-0.19313826393019973,-0.5233087287064178,0.0
"{""377"": 1, ""515"": 32}",-0.4832634562041132,-1.1019506253784415,-1.5849191468169261,-4.3564982945517245,0.0
"{""377"": 5, ""515"": 29}",-0.14472338636385382,-0.5360825968729224,-0.6132017819909182,-1.301498133058598,0.0
